ID_Level,Time,x,dx,y,dy,z,dz
01,2012-01-01 16:42:42.499155,-62.5022888184,0.107187472729,-27.5370864868,0.10437749909,97506.9448471,3553.55415344
02,2012-01-01 16:42:42.499155,-62.5022888184,0.107187472729,-27.5370864868,0.10437749909,92214.6217346,7031.0836792
03,2012-01-01 16:42:42.499155,-62.5022888184,0.107187472729,-27.5370864868,0.10437749909,85221.5515137,6955.06591797
04,2012-01-01 16:42:42.499155,-62.5022888184,0.107187472729,-27.5370864868,0.10437749909,78266.4825439,6955.07202148
05,2012-01-01 16:42:42.499155,-62.5022888184,0.107187472729,-27.5370864868,0.10437749909,71311.4059448,6955.06896973
06,2012-01-01 16:42:42.499155,-62.5022888184,0.107187472729,-27.5370864868,0.10437749909,64356.3415527,6955.06591797
07,2012-01-01 16:42:42.499155,-62.5022888184,0.107187472729,-27.5370864868,0.10437749909,57401.2748718,6955.06744385
08,2012-01-01 16:42:42.499155,-62.5022888184,0.107187472729,-27.5370864868,0.10437749909,50446.2089539,6955.06744385
09,2012-01-01 16:42:42.499155,-62.5022888184,0.107187472729,-27.5370864868,0.10437749909,43491.1407471,6955.06591797
10,2012-01-01 16:42:42.499155,-62.5022888184,0.107187472729,-27.5370864868,0.10437749909,36536.0748291,6955.06591797
11,2012-01-01 16:42:42.499155,-62.5022888184,0.107187472729,-27.5370864868,0.10437749909,29581.0085297,6955.06668091
12,2012-01-01 16:42:42.499155,-62.5022888184,0.107187472729,-27.5370864868,0.10437749909,22625.9422302,6955.06744385
13,2012-01-01 16:42:42.499155,-62.5022888184,0.107187472729,-27.5370864868,0.10437749909,15670.8732605,6955.06744385
14,2012-01-01 16:42:42.499155,-62.5022888184,0.107187472729,-27.5370864868,0.10437749909,10365.0968552,3656.48536682
15,2012-01-01 16:42:42.499155,-62.5022888184,0.107187472729,-27.5370864868,0.10437749909,8357.90309906,357.902908325
16,2012-01-01 16:42:42.499155,-62.5022888184,0.107187472729,-27.5370864868,0.10437749909,7339.47620392,1678.9516449
17,2012-01-01 16:42:42.499155,-62.5022888184,0.107187472729,-27.5370864868,0.10437749909,4750.0,3500.0
