ID_Level,Time,x,dx,y,dy,z,dz
01,2012-01-01 16:40:38.500705,-60.7114257812,0.10178188048,-19.9875736237,0.104097118841,96904.6619415,3433.55941772
02,2012-01-01 16:40:38.500705,-60.7114257812,0.10178188048,-19.9875736237,0.104097118841,91817.8897858,6739.9772644
03,2012-01-01 16:40:38.500705,-60.7114257812,0.10178188048,-19.9875736237,0.104097118841,85141.4855957,6612.82958984
04,2012-01-01 16:40:38.500705,-60.7114257812,0.10178188048,-19.9875736237,0.104097118841,78528.6560059,6612.82958984
05,2012-01-01 16:40:38.500705,-60.7114257812,0.10178188048,-19.9875736237,0.104097118841,71915.826416,6612.82958984
06,2012-01-01 16:40:38.500705,-60.7114257812,0.10178188048,-19.9875736237,0.104097118841,65302.9968262,6612.82958984
07,2012-01-01 16:40:38.500705,-60.7114257812,0.10178188048,-19.9875736237,0.104097118841,58690.1657104,6612.8326416
08,2012-01-01 16:40:38.500705,-60.7114257812,0.10178188048,-19.9875736237,0.104097118841,52077.3368835,6612.83111572
09,2012-01-01 16:40:38.500705,-60.7114257812,0.10178188048,-19.9875736237,0.104097118841,45464.5072937,6612.83111572
10,2012-01-01 16:40:38.500705,-60.7114257812,0.10178188048,-19.9875736237,0.104097118841,38851.675415,6612.82958984
11,2012-01-01 16:40:38.500705,-60.7114257812,0.10178188048,-19.9875736237,0.104097118841,32238.8458252,6612.82958984
12,2012-01-01 16:40:38.500705,-60.7114257812,0.10178188048,-19.9875736237,0.104097118841,25626.0154724,6612.83111572
13,2012-01-01 16:40:38.500705,-60.7114257812,0.10178188048,-19.9875736237,0.104097118841,19013.1835938,6612.8326416
14,2012-01-01 16:40:38.500705,-60.7114257812,0.10178188048,-19.9875736237,0.104097118841,13503.5154343,4406.50367737
15,2012-01-01 16:40:38.500705,-60.7114257812,0.10178188048,-19.9875736237,0.104097118841,10200.1760483,2200.17585754
16,2012-01-01 16:40:38.500705,-60.7114257812,0.10178188048,-19.9875736237,0.104097118841,7800.04444122,2600.08811951
17,2012-01-01 16:40:38.500705,-60.7114257812,0.10178188048,-19.9875736237,0.104097118841,4750.0,3500.0
