ID_Level,Time,x,dx,y,dy,z,dz
01,2012-01-01 16:42:56.499319,-59.8490104675,0.107389308431,-28.1183929443,0.111203899847,98580.0214767,3607.75489807
02,2012-01-01 16:42:56.499319,-59.8490104675,0.107389308431,-28.1183929443,0.111203899847,93211.9049072,7128.48510742
03,2012-01-01 16:42:56.499319,-59.8490104675,0.107389308431,-28.1183929443,0.111203899847,86126.9210815,7041.47033691
04,2012-01-01 16:42:56.499319,-59.8490104675,0.107389308431,-28.1183929443,0.111203899847,79085.4507446,7041.47644043
05,2012-01-01 16:42:56.499319,-59.8490104675,0.107389308431,-28.1183929443,0.111203899847,72043.9743042,7041.47033691
06,2012-01-01 16:42:56.499319,-59.8490104675,0.107389308431,-28.1183929443,0.111203899847,65002.5085449,7041.46728516
07,2012-01-01 16:42:56.499319,-59.8490104675,0.107389308431,-28.1183929443,0.111203899847,57961.0404968,7041.46881104
08,2012-01-01 16:42:56.499319,-59.8490104675,0.107389308431,-28.1183929443,0.111203899847,50919.5724487,7041.47033691
09,2012-01-01 16:42:56.499319,-59.8490104675,0.107389308431,-28.1183929443,0.111203899847,43878.0990601,7041.47033691
10,2012-01-01 16:42:56.499319,-59.8490104675,0.107389308431,-28.1183929443,0.111203899847,36836.631012,7041.47186279
11,2012-01-01 16:42:56.499319,-59.8490104675,0.107389308431,-28.1183929443,0.111203899847,29795.1572418,7041.47262573
12,2012-01-01 16:42:56.499319,-59.8490104675,0.107389308431,-28.1183929443,0.111203899847,22753.6846161,7041.47109985
13,2012-01-01 16:42:56.499319,-59.8490104675,0.107389308431,-28.1183929443,0.111203899847,15712.2138977,7041.47186279
14,2012-01-01 16:42:56.499319,-59.8490104675,0.107389308431,-28.1183929443,0.111203899847,10347.2669601,3688.42201233
15,2012-01-01 16:42:56.499319,-59.8490104675,0.107389308431,-28.1183929443,0.111203899847,8335.37082672,335.371017456
16,2012-01-01 16:42:56.499319,-59.8490104675,0.107389308431,-28.1183929443,0.111203899847,7333.84227753,1667.68531799
17,2012-01-01 16:42:56.499319,-59.8490104675,0.107389308431,-28.1183929443,0.111203899847,4750.0,3500.0
