ID_Level,Time,x,dx,y,dy,z,dz
01,2012-01-01 16:43:24.500818,-63.1360282898,0.109898449968,-30.0479793549,0.104961147772,98282.1294785,3482.94563293
02,2012-01-01 16:43:24.500818,-63.1360282898,0.109898449968,-30.0479793549,0.104961147772,93041.3719177,6998.56719971
03,2012-01-01 16:43:24.500818,-63.1360282898,0.109898449968,-30.0479793549,0.104961147772,86026.4709473,7031.23779297
04,2012-01-01 16:43:24.500818,-63.1360282898,0.109898449968,-30.0479793549,0.104961147772,78995.2331543,7031.23779297
05,2012-01-01 16:43:24.500818,-63.1360282898,0.109898449968,-30.0479793549,0.104961147772,71963.9953613,7031.23779297
06,2012-01-01 16:43:24.500818,-63.1360282898,0.109898449968,-30.0479793549,0.104961147772,64932.7590942,7031.23474121
07,2012-01-01 16:43:24.500818,-63.1360282898,0.109898449968,-30.0479793549,0.104961147772,57901.5205383,7031.23626709
08,2012-01-01 16:43:24.500818,-63.1360282898,0.109898449968,-30.0479793549,0.104961147772,50870.2804565,7031.24084473
09,2012-01-01 16:43:24.500818,-63.1360282898,0.109898449968,-30.0479793549,0.104961147772,43839.0426636,7031.24084473
10,2012-01-01 16:43:24.500818,-63.1360282898,0.109898449968,-30.0479793549,0.104961147772,36807.8010559,7031.23626709
11,2012-01-01 16:43:24.500818,-63.1360282898,0.109898449968,-30.0479793549,0.104961147772,29776.5651703,7031.23855591
12,2012-01-01 16:43:24.500818,-63.1360282898,0.109898449968,-30.0479793549,0.104961147772,22745.3273773,7031.23855591
13,2012-01-01 16:43:24.500818,-63.1360282898,0.109898449968,-30.0479793549,0.104961147772,15714.0884399,7031.23779297
14,2012-01-01 16:43:24.500818,-63.1360282898,0.109898449968,-30.0479793549,0.104961147772,10355.3035736,3686.3319397
15,2012-01-01 16:43:24.500818,-63.1360282898,0.109898449968,-30.0479793549,0.104961147772,8341.42436981,341.424942017
16,2012-01-01 16:43:24.500818,-63.1360282898,0.109898449968,-30.0479793549,0.104961147772,7335.35614014,1670.71228027
17,2012-01-01 16:43:24.500818,-63.1360282898,0.109898449968,-30.0479793549,0.104961147772,4750.0,3500.0
